COURSE_PROF,COURSE_PROF_DESC
82310,ARTS10621697
31467,SIGN20189640
17282,PENP15210931
92769,SOC10152901
33248,EPS105L49345
31305,EPS10165585
86124,ARCH10144174
200,SPAN11177783
38256,MGMT11317722
93539,ASTR10142864
74958,MATH12029848
40147,ENGL10161784
9390,UNIV10199669
65583,SOC10114297
27285,ECON10558005
50490,ENGL1023255
54180,MUS13965306
62278,ECON1066353
4166,ANTH10159276
32617,MATH12151803
12636,MUS24129639
32523,ENGL10140933
36,CJ13074267
66180,RELG10771792
68590,PSY10544211
2609,ENGL10220309
60004,MUS23171032
40895,MUS13932928
41355,ECON10546757
95563,FREN10175776
45164,ENGL1025610
55358,MATH18050326
67655,POLS11012967
36839,ECON10644151
11448,STAT14519632
36589,POLS20098176
96353,ASTR101L27967
80940,CJ13096093
73710,POLS31712967
29603,UNIV10120473
97165,SPAN11277783
31446,ENGL10149759
57538,PENP16594669
6074,PENP12427508
96913,ENGL10240537
20443,CLST10791419
96741,ARTS12144530
77557,AFAM297A39553
18529,MATH15095887
9941,MA11070042
58707,ENGL10156175
94277,PHYC10269304
22795,ENGL15053309
96098,SOC10121485
40235,ARTH10116951
34726,ENGL10256175
21986,NUTR12013067
20894,SIGN20148933
42389,RELG10737630
53026,ENGL10113533
39234,ARSC19823282
80347,ENGL10114948
58961,ARTH10118574
79208,SOC10135318
53634,BIOL124L84703
72364,MATH12161703
63976,UNIV10138119
67869,AMST33080469
51569,ENGL10250921
91711,CHEM12175978
93993,ENGL22199394
94708,PSY22065669
64769,SPAN1019362
321,PHIL10173530
66811,ASTR10189626
97001,PENP13899748
94741,ENGL10124898
92564,PENP13999748
5049,GEOG10187862
33940,MUS13973852
59906,GRMN1016616
90060,ENGL10169668
3431,MATH12366735
72943,MATH15032023
55155,MATH16269894
95975,ENGL10221501
76840,ME160L4199
55059,NUTR12079221
28253,ENGL10171361
63105,CJ13049557
41172,ENGL10271361
3459,ARTE36881752
70936,MATH12155725
66458,FREN10259146
84163,PENP17096288
4056,LING10113170
63792,MATH15043631
21292,UHON121H85569
89372,MATH12946341
48783,POLS20074037
61340,PENP17128515
28470,UHON22229547
99362,ANTH121L59801
279,FREN20275776
48954,PHIL10125992
66269,SOC10126678
69564,PENP15428515
61130,PENP1445470
63334,CJ13015546
58041,PENP17339637
29545,UNIV10121053
32312,PHYC102L72783
79087,PENP17039637
63854,PENP15214750
32100,MUS241527
10727,ENGL10132062
83536,PHYC10214815
31750,PSY10512002
55752,ENGL10180803
65263,ARSC19885377
36092,ENGL10288983
31842,ECON10531554
24173,BIOL11048666
74146,MATH11197171
81849,SPAN10116700
84114,ENGL10121828
27208,UNIV10167566
34158,ENGL10288944
72919,PENP15888990
90306,HIST10192007
14071,NUTR12046649
46875,CJ130437
58169,ENGL10228847
46110,PENP16836310
30559,ECON10581885
78325,SPAN10138765
26695,ARSC19813854
1525,CJ13088849
15089,MUS17218748
96531,ENGL10144194
67185,ASTR10114257
47914,PSY1059955
16590,ARTS18784789
98680,SPAN10247843
39313,ENVS10168697
31556,DANC37083775
6876,FA28421723
79713,CJ13059835
60228,ENGL10161188
49433,ARSC19866947
87029,MATH18054516
9570,SPAN2017762
16347,SPAN10184
7232,MATH15042443
97191,MUS13922517
75083,MATH18095887
86962,ECON10681009
71347,CJ13066940
74569,CHEM12112826
60171,MATH12350088
19,CS152L67265
21242,ENGL21987742
78698,MATH16293727
46858,CS251L67265
8489,PHYC160L72783
96990,PENP13644351
52876,MATH18091198
12433,DANC20491990
52230,CHEM12170573
87366,SPAN1024573
78395,ENGL10222354
89177,PENP17022083
73690,CJ13079046
68414,PSY20074867
55548,MATH18160678
63354,CJ13047674
63341,ENGL10119898
84798,SPAN21140931
89647,ENGL1011332
71023,MATH12070856
91263,ENGL10279318
89297,SPAN10199471
44304,ENGL10238986
40426,PENP15548360
83291,SPAN1118008
53590,MATH12398313
45595,ENGL21975876
40252,MATH15099159
76334,CHEM12270573
83323,CHEM124L75950
56452,CHNE10177544
90418,PENP193M48360
86379,ENGL10198671
4752,ARTS18749390
16570,FREN10255622
66152,DANC12794190
50899,ENGL10139312
39515,SPAN11137626
4296,UNIV10180109
39298,CJ13065300
12642,THEA12245390
87860,PENP11827207
46768,SPAN11217481
24351,PENP15839637
28478,SPAN10135115
95895,ENVS10148550
94998,LING10151078
34425,MATH12044277
95408,CJ13060059
47376,ENGL10215746
38154,SOC10140823
14023,CJ13013562
67990,FA28414785
71972,HIST16266873
61364,ECME10178565
31722,MATH11159472
9683,ENGL1013752
3749,PHIL10157661
19677,CHMS20124993
48054,MUS13927495
76172,SPAN21192156
63960,ENGL10210004
80898,PENP15414027
57458,PENP193E4485
57407,PENP1741182
51734,PENP15214027
90323,HIST16184397
77172,MATH12086453
9684,ENGL10270769
58213,MATH12197991
34267,PENP16010390
33737,ENGL10145376
25157,STAT14559087
81269,SPAN1128008
40011,FS21392329
5995,ENGL10232062
18760,ASTR10121406
51624,PSY10525378
68079,PENP16828515
80092,SPAN10273259
1019,ENGL10250088
19795,PENP11561968
39951,PENP11461968
94410,ARTS12111858
27549,PHYC10237485
61069,PENP16339637
18341,MATH12030638
62998,ARCH104254
32793,CJ13037382
27838,MATH12117417
57029,PENP16036565
32957,ASTR10132851
97995,ENGL10132076
25520,SPAN10133803
71512,MATH15057479
78068,SOC10120153
33815,ENGL10288699
29720,POLS20080035
73180,UNIV21697630
11115,PENP16322083
48517,DANC3051849
68104,CJ13055955
40446,PENP11495108
78582,PHIL15646684
83463,PENP11595108
18979,ENGL10170769
60201,UNIV21615294
54544,UNIV10133422
44992,LING10176908
95000,SIGN20186430
42142,ENGL10275989
42158,PENP15939637
30560,SPAN10196830
64863,ENGL10196378
72891,ARSC19855643
72748,UNIV10149504
64820,CJ31470264
87836,ANTH13085644
80027,SPAN10295562
9710,ARTH10146657
74652,LING10168464
27727,HED17138334
75368,MATH12174785
97978,HED16431958
54882,SPAN21140748
43478,ENGL10177738
55240,ARSC19889951
83619,CJ13064893
34636,PENP11514027
63627,ENGL10278098
91346,CHEM12139275
86201,MATH12357479
41668,SOC1011912
66111,ENGL10196417
89086,ENGL10296417
62765,ECON10553015
16816,SPAN10259050
71854,STAT14551664
33124,UNIV10198584
94843,ECON10590387
63403,PENP12455306
48129,GRMN10147724
18279,ENGL10115752
92655,PENP11410390
64004,MATH12134375
20476,ENG11699097
30727,ECE10157235
6840,ARCH10424838
65008,ENGL10249759
66212,ENVS10113240
33191,ARTH10131902
26584,UNIV10171767
74444,PENP11510390
48511,ENG11623361
38455,PENP1154983
97160,PENP13685271
66047,MGMT19016867
62984,PENP1144983
17052,CJ36258198
62010,ENGL10196545
94099,MGMT22271086
19865,SPAN11267948
36674,DANC11091326
57221,ENGL10213533
53023,UNIV10148525
67477,SPAN301K16700
76064,PENP193E82963
57652,SPAN10185083
71733,CJ13010041
20736,SPAN10271376
47577,ENGL10277244
10549,ARTS12155434
19194,ENGL10162924
599,BIOL12371770
70985,ENGL10150921
4671,STAT14544277
91787,CJ13091514
58671,NUTR24431679
8957,ENGL10239371
49385,ARTS10626740
53080,NTSC263L45496
70152,MATH12916131
3233,ARTS12161328
14794,MATH15054743
73380,UNIV10122066
37710,MUS10244977
82212,PENP16196288
20754,PENP16296288
89114,MATH12186453
28642,CJ13098585
54330,MUS13065306
27058,UNIV10169078
78026,MATH12928303
28978,SOC10195813
37874,ANTH10168483
48960,BIOL12318507
47013,PHIL15667851
68720,SPAN2016674
22502,STAT14562849
82519,PENP193N68633
66098,UHON121P77998
2602,UNIV10276932
61358,HED16476024
48646,BIOL124L86990
71565,PENP193M68633
3142,ENGL10150088
70853,STAT14599254
52581,SPAN10127537
98316,CHEM11173842
69685,ENGL10296173
86531,PENP15868633
86088,CJ13060337
5187,ECE49556173
72736,PHYC16055060
46965,MATH16295887
16579,PHYC16155060
14817,MATH16395887
8885,PHYC161L72783
18358,CJ13047572
54677,ARCH12144174
64696,PHYC10251694
1234,ECON10674297
19903,ENGL10245497
21436,ARSC19844808
83694,ARCH11141095
91542,ARCH101134
14244,ENVS10115899
52346,MATH12382604
39753,MATH12080587
56126,PENP1626415
2509,ENGL10267141
96664,GRMN10144184
3967,CJ13053175
75940,ANTH15064124
59665,EDUC29355702
40502,ENGL10193920
76730,HIST10179942
29014,SPAN1017190
74520,CHEM123L75950
65806,HIST16146061
3495,CHEM12162847
31330,PENP17077736
65541,ENGL10291687
60872,MATH1217400
87606,SPAN10123253
55656,MATH18055725
68459,BIOL20147146
47602,PHIL1561552
12107,PENP15988990
88980,EPS101178
74998,CHEM304L65220
40506,CHEM30265960
29621,SOC10175953
82347,ENGL10176908
57702,BIOL20136609
73387,PENP12827508
76242,PENP12927508
52491,BIOL23764941
34808,BIOL20247146
35491,ENGL10295783
66609,ENGL10140537
38139,MATH1501869
1970,ENGL10280803
21769,HIST26099939
5186,ENGL10183594
64979,ENGL15050962
34366,DANC16925951
34366,DANC26925951
85113,PHIL10196409
57092,MATH12155887
46808,JAPN10191568
3746,ENGL22025953
50073,EPS105L18475
88735,FREN20144399
39097,SOC10120237
17968,ASTR1011921
38856,THEA37156605
63811,ENGL1021332
22694,MATH12024850
71672,UHON12150962
76427,SPAN20135381
9836,UHON22271151
38968,ECON10672765
34583,SPAN20283619
6782,MATH18070044
91968,MA216A66070
23176,PENP15294612
12267,PENP15494612
38376,ECE231L51903
36427,ENGL10254825
56608,MATH12329848
10687,AMST18211853
5701,MATH12153068
13575,SPAN10151906
30729,CS151L91254
68829,UNIV10290907
57896,CRP16534576
360,MATH12113796
67026,PHYC10298429
1975,ENGL10123561
60630,ARTS12157583
726,ENGL10295468
73324,ARCH10441095
49648,ENGL1016813
74996,MGMT19071086
67679,MATH12186230
17391,SPAN11266625
41600,PENP15937046
66115,ENGL1026813
27885,PENP15560759
91935,ENVS102L68697
95935,EPS10164449
31708,MATH12190008
45668,MATH150896
16874,ENGL10223561
21611,MATH12166978
74328,ENGL10197388
70980,SPAN10164008
22147,PSY24025378
27698,CHEM12111124
51415,ENGL10297388
99702,MATH12365127
52301,ENGL10233317
403,UHON12141681
1403,PHYC11074024
31106,PENP16551750
19282,MATH15016131
83836,LING10113649
30621,FREN10126636
51316,UHON2225947
1904,LATN10156015
49021,PENP15895108
99726,HIST10114220
52533,SOC10187873
18959,ENGL10159066
65486,ANTH13038087
88558,ANTH15065143
17080,MATH12965127
12172,ECE10111588
17129,ECE13191254
24666,ENGL10152696
10537,PENP15648360
63244,MA21021723
12166,ENGL10117974
6664,SPAN11150246
89276,FA22952844
12583,MATH12946361
91352,JAPN10131858
38025,PHIL15662783
83619,ARTS1302403
81296,MA11123811
55614,CJ32799497
75775,CJ13071065
40929,DANC10556579
84769,PHYC1021921
41059,FREN27569182
35564,UHON12177998
37661,ENGL10137865
97731,AMST18282896
68684,UHON22272435
26860,ENGL10286985
69327,ENGL21988699
8969,MUS11664131
69471,UNIV10223136
15678,HMHV10179326
44503,CJ13066317
81769,PHYC15142864
820,PHYC151L72783
72603,ENGL21948217
16768,MATH18195887
52441,CHEM303L65220
78083,PHYC15242864
9725,PHYC152L72783
46663,SPAN21286913
98587,MATH1216356
8626,CRP16535609
23690,PENP14661710
34639,ARTS12182102
90762,LING10127368
60637,ARCH10497280
93746,CHNE10180477
52746,PHYC16072859
79152,PENP11447725
92835,ENGL10115855
32990,MATH12046341
18515,UNIV10168462
8480,BIOL124L48167
71796,STAT14532328
3958,SPAN10122908
82197,MATH12053394
14464,ENGL1019801
80327,PENP16864587
60832,COMP22228197
44616,ENGL1029801
84206,ARTH10126793
48916,EPS10149345
5018,DANC2102993
46395,ENGL1016069
84524,ENGL1025772
86599,CS150L70405
73504,CHEM19251369
54744,ENGL10158677
45983,CHEM11184217
32875,CHEM12129
37476,PHIL10158131
45032,ENGL10293373
70855,UNIV1017331
64751,HIST16144272
54993,POLS24038928
73435,ENGL22099148
9010,HIST16244272
47748,ARTH20246002
60728,SOC10181211
51128,NVJO10289913
32374,ENGL10115746
51338,SIGN20197731
79260,PENP15668633
36062,PENP15568633
92475,PENP17883049
33895,ARTH10170717
5658,UNIV10184340
8749,MLSL10177056
46752,MATH12051803
22604,ENGL10186112
59481,ARCH10463484
16349,SIGN20170454
65142,ENGL10218007
91501,MLSL10277056
92957,CHEM12211124
53612,JAPN10136432
21810,DANC32794190
50877,CHEM30165220
85564,SPAN10258486
88394,PENP11447807
1350,ENGL10134532
91258,PENP11547725
86744,PENP1714983
83241,ENGL10294494
54439,CJ13076727
91250,ANTH13087069
34751,PSY27130003
54029,PSY28081850
44913,PENP11437046
31223,MATH12146341
26013,SPAN11237626
55043,MA11058277
80793,NATV41795673
49101,NATV15098072
45572,MATH12028303
3541,NATV41895673
2439,PENP15911162
48248,PENP15811162
30480,PENP19332406
52795,CJ13033249
98623,CHEM12191450
19645,MATH16357479
10001,RUSS10277406
94793,FREN20139879
50787,CJ13035437
71058,ENVS1012680
16360,CJ17185159
96691,FREN20339879
28561,FREN20239879
15866,CJ27366329
58175,DANC14918364
69888,PENP12822988
21227,UHON12129547
23551,UNIV10215294
58445,ENGL25040537
18995,ANTH13013105
27657,PENP17154827
72842,FREN10143284
2908,ENVS10179026
61606,ENGL2196760
59053,MATH26495887
27379,ECE23191254
95923,PHYC16141899
56500,PHYC10227967
85333,SPAN21237626
15683,LING10149475
64184,ENGL10256211
35941,WMST37997805
56077,PSY10530003
49012,CJ13050886
6601,PSY22082768
62738,SPAN10159027
90796,ENGL10178139
80425,MATH12046361
44923,ENGL10220082
15663,EPS20160731
68334,MATH1214225
47250,MUSE19495231
22885,MUSE24129639
49444,MUS15032928
80317,ENGL10172072
41748,MUS2344606
98328,MUS15232928
55511,ASTR10156898
39865,ENGL10220320
11828,MUS2314606
42025,SOC10135920
80070,DANC1051849
70938,ENGL10135682
54609,ENGL10259066
2673,CJ13076762
24530,PHIL10172615
2660,SPAN1011094
10262,ENGL10193098
11186,ENGL10150135
45264,POLS20063240
6626,MATH1204225
83849,GEOG1406579
35845,NUTR12034273
67631,ARTH10164919
66709,ENGL10287525
99262,SPAN10165885
29237,MATH18074066
59772,ENGL10131425
37877,ECON10585000
7633,SOC10186378
89635,MATH12198313
88835,ENGL10127480
762,POLS20061252
99869,PENP14395108
45231,ARTS1878269
98016,UHON22240588
93262,MATH18141232
57466,LATN10133573
7794,ENGL10175210
55826,NATV2558227
28183,SOC1016137
85768,SPAN20189759
74837,PEP27328515
52502,AFAS12062327
10589,CJ13034722
60960,GEOG1022062
71336,PHIL10123540
15995,AFAS12197949
27058,ENGL1022261
92625,PENP193I6415
86027,PENP193N6415
94284,PHYC10227894
57123,ENGL38139553
81177,ANTH10162721
52796,ENGL10186507
29592,SPAN10147843
57728,MATH12141232
86439,SPAN11151906
48239,PENP16348761
51816,ENGL10185391
49822,GEOG1016579
13528,ECON10641421
189,ENGL10276881
72583,PENP16511162
91357,ENGL1021387
95923,ENGL10270210
78220,ARTS18721233
83330,PENP15820887
49171,UHON121O4577
44589,MATH12943631
65963,PENP15920887
10900,DANC1692717
94821,BIOL124L53602
88894,STAT14584934
50334,ENGL10178098
96680,DANC17083775
20777,UNIV10129852
52412,BIOL12362313
